date,state,city,place_type,confirmed,deaths,is_last,estimated_population_2019,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2020-06-06,PB,São Sebastião de Lagoa de Roça,city,35,2,True,11661,2515104,300.14579,0.0571
2020-06-06,PB,São Sebastião do Umbuzeiro,city,4,0,True,3489,2515203,114.64603,0.0
2020-06-06,PB,São Vicente do Seridó,city,17,0,True,10775,2515401,157.77262,0.0
2020-06-06,PB,Sapé,city,284,7,True,52625,2515302,539.66746,0.0246
2020-06-06,PB,Serra Branca,city,3,0,True,13699,2515500,21.89941,0.0
2020-06-06,PB,Serra da Raiz,city,11,0,True,3148,2515609,349.42821,0.0
2020-06-06,PB,Serra Grande,city,1,0,True,2909,2515708,34.37607,0.0
2020-06-06,PB,Serra Redonda,city,62,0,True,7041,2515807,880.55674,0.0
2020-06-06,PB,Serraria,city,14,1,True,6099,2515906,229.54583,0.0714
2020-06-06,PB,Sertãozinho,city,18,0,True,5024,2515930,358.28025,0.0
2020-06-06,PB,Sobrado,city,29,1,True,7783,2515971,372.60696,0.0345
2020-06-06,PB,Solânea,city,93,0,True,26407,2516003,352.17935,0.0
2020-06-06,PB,Soledade,city,18,0,True,14989,2516102,120.08806,0.0
2020-06-06,PB,Sousa,city,280,1,True,69444,2516201,403.20258,0.0036
2020-06-06,PB,Sumé,city,37,0,True,16966,2516300,218.08323,0.0
2020-06-06,PB,Tacima,city,28,1,True,10911,2516409,256.62176,0.0357
2020-06-06,PB,Taperoá,city,35,1,True,15376,2516508,227.62747,0.0286
2020-06-06,PB,Tavares,city,8,0,True,14726,2516607,54.32568,0.0
2020-06-06,PB,Teixeira,city,26,0,True,15161,2516706,171.49265,0.0
2020-06-06,PB,Tenório,city,2,0,True,3058,2516755,65.40222,0.0
2020-06-06,PB,Uiraúna,city,4,1,True,15242,2516904,26.24328,0.25
2020-06-06,PB,Umbuzeiro,city,16,1,True,9907,2517001,161.50197,0.0625
2020-06-06,PB,Várzea,city,1,0,True,2810,2517100,35.58719,0.0
2020-06-06,PB,Vieirópolis,city,3,0,True,5348,2517209,56.09574,0.0
2020-06-06,PB,Vista Serrana,city,1,0,True,3798,2505501,26.32965,0.0
